P1==Winner,P1_wins_proba_elo,P1_pts,P2_pts,field_type==indoor_hard,P1_wins_proba_elo_indoor_hard,field_type==indoor_carpet,P1_wins_proba_elo_indoor_carpet,field_type==indoor_clay,P1_wins_proba_elo_indoor_clay,field_type==outdoor_hard,P1_wins_proba_elo_outdoor_hard,field_type==outdoor_clay,P1_wins_proba_elo_outdoor_clay,field_type==outdoor_grass,P1_wins_proba_elo_outdoor_grass
False,0.5054245607061321,0,0,0,0.5,0,0.5,0,0.5,1,0.5054245607061321,0,0.5,0,0.5
True,0.4751011523680001,0,0,0,0.5,0,0.5,0,0.5,1,0.4751011523680001,0,0.5,0,0.5
False,0.32426687036546487,0,0,0,0.5,0,0.5,0,0.5,1,0.3242675985331671,0,0.5,0,0.5
True,0.6517203897924534,2180,621,0,0.5,0,0.5,0,0.5,1,0.6517203901485057,0,0.5,0,0.5
True,0.4718166505095903,1250,0,0,0.5,0,0.5,0,0.5,1,0.4718166288751666,0,0.5,0,0.5
True,0.4912596042174102,0,526,0,0.5,0,0.5,0,0.5,1,0.4912596042174102,0,0.5,0,0.5
True,0.6757331296345351,0,0,0,0.5,0,0.5,0,0.5,1,0.6757324014668329,0,0.5,0,0.5
True,0.6078721201603515,0,864,0,0.5,0,0.5,0,0.5,1,0.6078722077421569,0,0.5,0,0.5
False,0.5281833494904097,0,1250,0,0.5,0,0.5,0,0.5,1,0.5281833711248334,0,0.5,0,0.5
False,0.3921278798396485,864,0,0,0.5,0,0.5,0,0.5,1,0.3921277922578431,0,0.5,0,0.5
False,0.5,0,0,0,0.5,0,0.5,0,0.5,1,0.5,0,0.5,0,0.5
False,0.3482796102075466,621,2180,0,0.5,0,0.5,0,0.5,1,0.3482796098514943,0,0.5,0,0.5
True,0.4959069780282911,495,0,0,0.5,0,0.5,0,0.5,1,0.4959069780282911,0,0.5,0,0.5
False,0.5007821052332289,0,0,0,0.5,0,0.5,0,0.5,1,0.5007821052332289,0,0.5,0,0.5
True,0.5225204716705579,0,0,0,0.5,0,0.5,0,0.5,1,0.5225204716705579,0,0.5,0,0.5
True,0.4791375801508903,0,0,0,0.5,0,0.5,0,0.5,1,0.4791375801508903,0,0.5,0,0.5
False,0.41638632804118314,1250,0,0,0.5,0,0.5,0,0.5,1,0.4163862389375007,0,0.5,0,0.5
False,0.4751147791929602,0,0,0,0.5,0,0.5,0,0.5,1,0.4751147791929602,0,0.5,0,0.5
True,0.6693673332805277,0,494,0,0.5,0,0.5,0,0.5,1,0.6693673332805277,0,0.5,0,0.5
True,0.4992178947667711,0,0,0,0.5,0,0.5,0,0.5,1,0.4992178947667711,0,0.5,0,0.5
True,0.4997609317461086,0,0,0,0.5,0,0.5,0,0.5,1,0.4997609317461086,0,0.5,0,0.5
False,0.33063266671947233,494,0,0,0.5,0,0.5,0,0.5,1,0.33063266671947233,0,0.5,0,0.5
False,0.5002390682538914,0,0,0,0.5,0,0.5,0,0.5,1,0.5002390682538914,0,0.5,0,0.5
True,0.4830789641513221,0,0,0,0.5,0,0.5,0,0.5,1,0.4830789641513221,0,0.5,0,0.5
True,0.5836136719588169,0,1250,0,0.5,0,0.5,0,0.5,1,0.5836137610624993,0,0.5,0,0.5
False,0.47747952832944207,0,0,0,0.5,0,0.5,0,0.5,1,0.47747952832944207,0,0.5,0,0.5
False,0.5208624198491096,0,0,0,0.5,0,0.5,0,0.5,1,0.5208624198491096,0,0.5,0,0.5
True,0.5248852208070398,0,0,0,0.5,0,0.5,0,0.5,1,0.5248852208070398,0,0.5,0,0.5
False,0.5040930219717089,0,495,0,0.5,0,0.5,0,0.5,1,0.5040930219717089,0,0.5,0,0.5
False,0.5169210358486779,0,0,0,0.5,0,0.5,0,0.5,1,0.5169210358486779,0,0.5,0,0.5
False,0.514748161215717,0,0,0,0.5,0,0.5,0,0.5,1,0.514748161215717,0,0.5,0,0.5
False,0.47766367939236654,0,0,0,0.5,0,0.5,0,0.5,1,0.47766367939236654,0,0.5,0,0.5
True,0.4989178997473922,0,0,0,0.5,0,0.5,0,0.5,1,0.4989178997473922,0,0.5,0,0.5
True,0.4852518387842831,0,0,0,0.5,0,0.5,0,0.5,1,0.4852518387842831,0,0.5,0,0.5
True,0.5223363206076335,0,0,0,0.5,0,0.5,0,0.5,1,0.5223363206076335,0,0.5,0,0.5
False,0.5010821002526078,0,0,0,0.5,0,0.5,0,0.5,1,0.5010821002526078,0,0.5,0,0.5
True,0.4858206047434556,0,0,0,0.5,0,0.5,0,0.5,1,0.4858206047434556,0,0.5,0,0.5
False,0.5141793952565443,0,0,0,0.5,0,0.5,0,0.5,1,0.5141793952565443,0,0.5,0,0.5
True,0.5419706656111635,1325,0,0,0.5,0,0.5,0,0.5,1,0.5417362608700353,0,0.5,0,0.5
False,0.45802933438883653,0,1325,0,0.5,0,0.5,0,0.5,1,0.45826373912996465,0,0.5,0,0.5
True,0.3490364682224162,0,1028,0,0.5,0,0.5,0,0.5,1,0.349043609416741,0,0.5,0,0.5
False,0.4836217186604298,935,0,0,0.5,0,0.5,0,0.5,1,0.48364649983974894,0,0.5,0,0.5
False,0.49605207134830054,0,515,0,0.5,0,0.5,0,0.5,1,0.4960520671308909,0,0.5,0,0.5
False,0.27475677908724283,0,1238,0,0.5,0,0.5,0,0.5,1,0.27476075476740613,0,0.5,0,0.5
False,0.4335448796636273,0,915,0,0.5,0,0.5,0,0.5,1,0.43355756418912483,0,0.5,0,0.5
True,0.6172106384457378,0,0,0,0.5,0,0.5,0,0.5,1,0.6172103519571202,0,0.5,0,0.5
True,0.4875061118187114,1105,0,0,0.5,0,0.5,0,0.5,1,0.4875279660514865,0,0.5,0,0.5
False,0.5460475580529287,910,462,0,0.5,0,0.5,0,0.5,1,0.5460138306760163,0,0.5,0,0.5
False,0.37274294098054017,1135,75,0,0.5,0,0.5,0,0.5,1,0.37274099291064566,0,0.5,0,0.5
True,0.6388906524793265,228,710,0,0.5,0,0.5,0,0.5,1,0.6388907827431685,0,0.5,0,0.5
True,0.5848143815410933,0,933,0,0.5,0,0.5,0,0.5,1,0.5857655196050118,0,0.5,0,0.5
True,0.5163782813395702,0,935,0,0.5,0,0.5,0,0.5,1,0.516353500160251,0,0.5,0,0.5
True,0.583334568733966,0,0,0,0.5,0,0.5,0,0.5,1,0.5833367211961734,0,0.5,0,0.5
False,0.41666543126603395,0,0,0,0.5,0,0.5,0,0.5,1,0.4166632788038266,0,0.5,0,0.5
False,0.41518561845890667,933,0,0,0.5,0,0.5,0,0.5,1,0.4142344803949882,0,0.5,0,0.5
True,0.5039479286516995,515,0,0,0.5,0,0.5,0,0.5,1,0.5039479328691091,0,0.5,0,0.5
True,0.7252432209127572,1238,0,0,0.5,0,0.5,0,0.5,1,0.7252392452325939,0,0.5,0,0.5
False,0.38278936155426224,0,0,0,0.5,0,0.5,0,0.5,1,0.38278964804287985,0,0.5,0,0.5
False,0.5124938881812886,0,1105,0,0.5,0,0.5,0,0.5,1,0.5124720339485135,0,0.5,0,0.5
True,0.5664551203363727,915,0,0,0.5,0,0.5,0,0.5,1,0.5664424358108752,0,0.5,0,0.5
True,0.4539524419470713,462,910,0,0.5,0,0.5,0,0.5,1,0.4539861693239838,0,0.5,0,0.5
True,0.6272570590194598,75,1135,0,0.5,0,0.5,0,0.5,1,0.6272590070893543,0,0.5,0,0.5
False,0.3611093475206735,710,228,0,0.5,0,0.5,0,0.5,1,0.36110921725683154,0,0.5,0,0.5
False,0.6509635317775838,1028,0,0,0.5,0,0.5,0,0.5,1,0.6509563905832589,0,0.5,0,0.5
False,0.5592508209002918,280,0,0,0.5,0,0.5,0,0.5,1,0.5591842292171711,0,0.5,0,0.5
False,0.5475944658021322,462,0,0,0.5,0,0.5,0,0.5,1,0.5476166982532598,0,0.5,0,0.5
True,0.3903049458711645,0,0,0,0.5,0,0.5,0,0.5,1,0.3903362866680741,0,0.5,0,0.5
True,0.4524055341978678,0,462,0,0.5,0,0.5,0,0.5,1,0.4523833017467402,0,0.5,0,0.5
True,0.4407491790997083,0,280,0,0.5,0,0.5,0,0.5,1,0.4408157707828289,0,0.5,0,0.5
True,0.779136582498493,595,0,0,0.5,0,0.5,0,0.5,1,0.7791661775926518,0,0.5,0,0.5
False,0.46358474471845557,0,0,0,0.5,0,0.5,0,0.5,1,0.46358614889200755,0,0.5,0,0.5
True,0.5364152552815444,0,0,0,0.5,0,0.5,0,0.5,1,0.5364138511079924,0,0.5,0,0.5
False,0.6096950541288355,0,0,0,0.5,0,0.5,0,0.5,1,0.6096637133319259,0,0.5,0,0.5
False,0.22086341750150695,0,595,0,0.5,0,0.5,0,0.5,1,0.22083382240734817,0,0.5,0,0.5
True,0.4337760209654194,0,228,0,0.5,0,0.5,0,0.5,1,0.4337729703051196,0,0.5,0,0.5
False,0.4638285346537705,0,0,0,0.5,0,0.5,0,0.5,1,0.46384636590666684,0,0.5,0,0.5
True,0.5361714653462295,0,0,0,0.5,0,0.5,0,0.5,1,0.5361536340933332,0,0.5,0,0.5
False,0.5662239790345807,228,0,0,0.5,0,0.5,0,0.5,1,0.5662270296948804,0,0.5,0,0.5
True,0.7736148349894743,595,0,0,0.5,0,0.5,0,0.5,1,0.7736015532705648,0,0.5,0,0.5
False,0.22638516501052575,0,595,0,0.5,0,0.5,0,0.5,1,0.2263984467294352,0,0.5,0,0.5
True,0.6742334343510215,0,0,0,0.5,0,0.5,0,0.5,1,0.6742056442037491,0,0.5,0,0.5
True,0.8303283604830674,0,0,0,0.5,0,0.5,0,0.5,1,0.8303024463357936,0,0.5,0,0.5
False,0.31302538967877536,0,302,0,0.5,0,0.5,0,0.5,1,0.31299543901469373,0,0.5,0,0.5
False,0.32576656564897855,0,0,0,0.5,0,0.5,0,0.5,1,0.32579435579625093,0,0.5,0,0.5
False,0.16967163951693265,0,0,0,0.5,0,0.5,0,0.5,1,0.16969755366420636,0,0.5,0,0.5
False,0.3289584031782573,308,108,0,0.5,0,0.5,0,0.5,1,0.3289140932132142,0,0.5,0,0.5
True,0.5933113942859153,725,620,0,0.5,0,0.5,0,0.5,1,0.5931947752892558,0,0.5,0,0.5
False,0.3747826252191102,0,1070,0,0.5,0,0.5,0,0.5,1,0.37479957225374905,0,0.5,0,0.5
False,0.5443481654007101,622,379,0,0.5,0,0.5,0,0.5,1,0.5431977528087524,0,0.5,0,0.5
False,0.3477877248648902,1168,552,0,0.5,0,0.5,0,0.5,1,0.3479133969231817,0,0.5,0,0.5
False,0.42015521915858955,0,0,0,0.5,0,0.5,0,0.5,1,0.42015899820385505,0,0.5,0,0.5
True,0.6869746103212246,302,0,0,0.5,0,0.5,0,0.5,1,0.6870045609853063,0,0.5,0,0.5
True,0.5798447808414104,0,0,0,0.5,0,0.5,0,0.5,1,0.579841001796145,0,0.5,0,0.5
True,0.6522122751351098,552,1168,0,0.5,0,0.5,0,0.5,1,0.6520866030768183,0,0.5,0,0.5
True,0.45565183459929,379,622,0,0.5,0,0.5,0,0.5,1,0.4568022471912477,0,0.5,0,0.5
True,0.6252173747808898,1070,0,0,0.5,0,0.5,0,0.5,1,0.625200427746251,0,0.5,0,0.5
False,0.4066886057140847,620,725,0,0.5,0,0.5,0,0.5,1,0.4068052247107442,0,0.5,0,0.5
True,0.6710415968217427,108,308,0,0.5,0,0.5,0,0.5,1,0.6710859067867858,0,0.5,0,0.5
True,0.4133813664913415,0,603,0,0.5,0,0.5,0,0.5,1,0.413404959477513,0,0.5,0,0.5
True,0.5122771956938245,0,710,0,0.5,0,0.5,0,0.5,1,0.5122756288673438,0,0.5,0,0.5
True,0.625563717530997,202,0,0,0.5,0,0.5,0,0.5,1,0.6255342388725929,0,0.5,0,0.5
False,0.18896492513353635,1135,6590,0,0.5,0,0.5,0,0.5,1,0.18781927920083175,0,0.5,0,0.5
False,0.5738726042516924,974,0,0,0.5,0,0.5,0,0.5,1,0.5738750757918705,0,0.5,0,0.5
False,0.26263112475290895,398,3450,0,0.5,0,0.5,0,0.5,1,0.262755179315048,0,0.5,0,0.5
False,0.5866186335086585,603,0,0,0.5,0,0.5,0,0.5,1,0.586595040522487,0,0.5,0,0.5
True,0.5037740962853199,0,0,0,0.5,0,0.5,0,0.5,1,0.5037722476452197,0,0.5,0,0.5
False,0.2040103630971718,0,265,0,0.5,0,0.5,0,0.5,1,0.2047704358944935,0,0.5,0,0.5
False,0.5133281393051803,0,0,0,0.5,0,0.5,0,0.5,1,0.5134579570177698,0,0.5,0,0.5
False,0.37818001619475283,90,0,0,0.5,0,0.5,0,0.5,1,0.37818270893639216,0,0.5,0,0.5
False,0.5116906214876915,0,449,0,0.5,0,0.5,0,0.5,1,0.5116546619146292,0,0.5,0,0.5
True,0.4815308969347558,0,0,0,0.5,0,0.5,0,0.5,1,0.4815268708708634,0,0.5,0,0.5
True,0.6218199838052472,0,90,0,0.5,0,0.5,0,0.5,1,0.6218172910636078,0,0.5,0,0.5
True,0.4866718606948197,0,0,0,0.5,0,0.5,0,0.5,1,0.4865420429822302,0,0.5,0,0.5
True,0.7959896369028282,265,0,0,0.5,0,0.5,0,0.5,1,0.7952295641055065,0,0.5,0,0.5
False,0.4962259037146801,0,0,0,0.5,0,0.5,0,0.5,1,0.49622775235478034,0,0.5,0,0.5
True,0.737368875247091,3450,398,0,0.5,0,0.5,0,0.5,1,0.737244820684952,0,0.5,0,0.5
True,0.4261273957483076,0,974,0,0.5,0,0.5,0,0.5,1,0.4261249242081296,0,0.5,0,0.5
True,0.8110350748664636,6590,1135,0,0.5,0,0.5,0,0.5,1,0.8121807207991683,0,0.5,0,0.5
