,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
92,Zverev M.,1302,333,1605.4051448728328,72,1507.5934477151607,13,1516.2659439111762,0,1500.0,109,1518.8626653908384,79,1427.230933344903,60,1565.710951197905
93,Korolev E.,447,162,1512.787216510479,26,1534.0272680618384,8,1438.2413139903674,0,1500.0,61,1523.3351237997954,55,1447.5881669949704,12,1407.159072908225
94,Tsonga J.W.,210,673,1783.7809481060838,184,1695.0338908651215,18,1590.2253805435566,0,1500.0,268,1820.9777433708407,131,1756.5530298573524,72,1747.98069839305
95,Acasuso J.,1010,359,1540.523428648499,15,1443.2245475780276,12,1457.9813332740912,0,1500.0,91,1522.7526624430527,233,1707.0442044247802,8,1379.545920793784
96,Dancevic F.,484,141,1498.545997312456,15,1494.5053061216404,4,1477.5484131052851,0,1500.0,74,1443.3685979752947,4,1444.940104075153,44,1515.90520009011
97,Gulbis E.,258,453,1679.8752937843228,93,1580.9284434448307,13,1530.0717807210126,0,1500.0,174,1497.166775042321,134,1519.8707950621808,39,1523.495043719114
98,Soderling R.,1063,451,1821.3115683083308,116,1740.7519065392764,29,1643.9430408017565,0,1500.0,143,1727.3740740790224,120,1806.4708280927264,43,1663.7517157636148
99,Verdasco F.,1545,988,1704.2508016606473,137,1622.9519954049001,22,1517.940622065273,4,1501.3063305207002,350,1529.1541486390506,381,1622.732083647918,94,1563.9900048625263
100,Nishikori K.,3390,617,1827.398633911803,103,1728.886567380451,0,1500.0,0,1500.0,299,1802.6958955540063,151,1832.3457631423112,64,1705.4547443221654
101,Odesnik W.,581,99,1496.7799258817683,8,1471.8311237893786,0,1500.0,0,1500.0,55,1447.3833501549977,31,1582.1796251037017,5,1424.0749472813623
102,Gicquel M.,733,205,1660.9089874247188,38,1503.0460983299477,21,1537.6866658049312,0,1500.0,61,1519.1196413679393,59,1516.6255464224573,26,1476.6303868788018
103,Falla A.,794,254,1471.1878886859706,29,1416.6920067945086,5,1521.8624547609372,0,1500.0,119,1397.9107057058357,61,1472.0976556422224,40,1446.487648750241
104,Levy H.,210,119,1420.7679555344123,10,1425.377090564414,5,1454.30041501798,0,1500.0,58,1453.6247480087054,30,1433.6954633134897,16,1465.5719312952426
105,Bellucci T.,1080,380,1582.9116592806918,33,1527.947579152113,0,1500.0,13,1483.3114257713678,120,1458.0118866238508,197,1636.1119007393102,17,1458.5785385025433
106,Roddick A.,2315,773,1809.07694860734,126,1694.0220767994194,36,1632.421053174714,0,1500.0,412,1815.7841342247202,96,1604.9153694039976,103,1767.2998375989896
107,Dolgopolov O.,1110,412,1571.0504155626136,48,1456.5680257614024,0,1500.0,0,1500.0,201,1676.467909945651,120,1616.2495043362871,43,1572.789785402567
108,Baghdatis M.,1115,596,1705.169339495628,113,1567.8385248030033,22,1617.2537440513074,0,1500.0,288,1622.7565042693084,81,1456.3260855982755,92,1599.7434420527877
109,Ball C.,222,20,1516.9321367432497,0,1500.0,0,1500.0,0,1500.0,16,1517.876015443086,2,1502.664492303821,2,1465.0453843644138
110,Ebden M.,1125,203,1535.022733432228,31,1450.7213921423659,0,1500.0,0,1500.0,109,1545.0340815621914,18,1358.0000310184207,45,1518.3837773067442
111,Monfils G.,3625,839,1735.158776598188,194,1662.0733777479495,12,1529.4057440228426,1,1483.4710901807769,341,1716.7179296953152,218,1703.6350086737477,73,1631.0107884335343
112,Lopez F.,770,972,1639.2857069455142,145,1503.355795700364,30,1526.1010122173382,0,1500.0,394,1706.5734693389434,264,1644.8216199429596,139,1601.8864835169447
113,Istomin D.,965,440,1503.6022996657457,92,1444.2429672725889,3,1481.3712915259955,0,1500.0,171,1542.0992457254495,107,1544.034724535698,67,1519.7373044475971
114,Berrer M.,960,231,1506.747440914997,61,1475.9997858057798,8,1512.2103162129592,0,1500.0,88,1387.6345440202585,50,1436.368169070203,24,1419.4739403936035
