,P1==Winner,P1_wins_proba_elo,P1_pts,P2_pts,field_type==indoor_hard,P1_wins_proba_elo_indoor_hard,field_type==outdoor_hard,P1_wins_proba_elo_outdoor_hard,field_type==outdoor_clay,P1_wins_proba_elo_outdoor_clay,field_type==outdoor_grass,P1_wins_proba_elo_outdoor_grass
35299,True,0.6801512586433425,399,20,0,0.6105859784092583,0,0.3503333277476653,0,0.2136541196923725,1,0.485424249808099
35296,True,0.2728660839102107,1730,554,0,0.5602121621917875,0,0.6188805557419117,0,0.6803506869166601,1,0.6392016845151641
35294,True,0.3502317538499695,0,0,0,0.4263021701195431,0,0.5937227699791056,0,0.6478292248466548,1,0.5776756020241895
35315,False,0.2315287990327215,1355,665,0,0.5133961577076981,0,0.6295776695580605,0,0.8403482260063967,1,0.5420050709249643
35294,False,0.6497682461500305,0,0,0,0.5736978298804569,0,0.40627723002089444,0,0.35217077515334516,1,0.42232439797581045
35311,False,0.3240073664491146,830,469,0,0.7240867374416158,0,0.5471781062870834,0,0.5249777440545279,1,0.6860879782527677
35313,True,0.2942093891842218,106,25,0,0.5076375721394839,0,0.3317094795263373,0,0.8173189617000025,1,0.5964519833323209
35306,True,0.8424102009262312,611,1255,0,0.5835851406815907,0,0.2639505632429041,0,0.1181069562247026,1,0.3651884460605402
35305,False,0.4945785623716917,21,239,0,0.2667497941654208,0,0.2793349297734471,0,0.6078768145880997,1,0.42542150821353353
35304,False,0.2355365583816539,2560,0,0,0.5520376196403713,0,0.7366483137793052,0,0.8160293728101569,1,0.42120743099334756
35303,True,0.3221051165720875,1405,1700,0,0.6076282803727641,0,0.518578204154327,0,0.6764587414951531,1,0.5751272962469892
35302,False,0.3092014530596905,2585,805,0,0.6802843244455966,0,0.6715494629594766,0,0.6419454782317204,1,0.6343767676888642
35300,False,0.2367167679580264,41,671,0,0.5319352868275034,0,0.6654338995557476,0,0.8744541985662533,1,0.46564696420672325
35296,False,0.7271339160897893,554,1730,0,0.4397878378082125,0,0.3811194442580883,0,0.3196493130833399,1,0.3607983154848359
35309,False,0.6458957414782057,0,0,0,0.5219987005214988,0,0.6533169967926279,0,0.46206944157411656,1,0.35678639438504955
