,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
146,Pouille L.,1325,260,1722.2919227896584,62,1632.2399643683839,0,1500.0,0,1500.0,93,1657.0828310927134,72,1568.2717339929718,33,1579.1497163828362
147,Thompson J.,896,250,1509.6149751703765,24,1489.1512291711113,0,1500.0,0,1500.0,139,1498.8748077193159,34,1436.7959199798324,53,1497.5403505873887
148,Ferrer D.,1290,1068,1769.606364384404,140,1703.8388310275088,21,1495.1693101314718,0,1500.0,392,1755.4596348675066,448,1709.7460071706182,67,1631.1416326621911
149,Edmund K.,967,233,1755.4150229468355,29,1642.4922619774106,0,1500.0,0,1500.0,122,1627.819216748026,51,1566.735767115257,31,1496.0774564543528
150,Donaldson J.,908,110,1580.8271429667864,7,1430.5881690935212,0,1500.0,0,1500.0,74,1585.4378026589284,15,1446.6679919295468,14,1474.6447927176446
151,Schwartzman D.,1735,442,1695.3215638574247,52,1588.999615542584,0,1500.0,8,1509.843169008461,157,1666.3295909492108,199,1611.9256062830627,26,1455.745571974855
152,Nadal R.,5820,1254,1830.7791758254443,104,1730.617802670184,14,1537.0177782506387,4,1567.5043250762053,535,1936.6191381423469,500,2114.6134272313984,97,1843.3552255080722
153,Wawrinka S.,367,881,1762.694094644182,144,1685.4856576994605,20,1503.385139386821,0,1500.0,359,1785.6205747818256,293,1731.5323741165264,65,1584.546019449019
154,de Minaur A.,1710,306,1752.008617876291,60,1640.503595429362,0,1500.0,0,1500.0,160,1709.5518892748878,45,1478.4893116999406,41,1592.2516872396798
155,Harrison R.,1032,272,1538.926341769574,33,1469.4835068031803,0,1500.0,0,1500.0,166,1546.0991640021387,37,1424.9687780547456,36,1437.4290038590104
156,Zeballos H.,895,218,1494.0909939910985,20,1462.5619328733808,0,1500.0,10,1509.3403130393335,61,1490.0357105295911,114,1498.1010538430442,13,1397.71793274319
157,Mmoh M.,464,66,1504.2127403714758,8,1469.0500127435046,0,1500.0,0,1500.0,48,1519.8067226814023,6,1447.25644964278,4,1477.872835556744
158,Kyrgios N.,1260,303,1670.415228276804,18,1552.8368654455803,0,1500.0,0,1500.0,186,1702.272207013939,46,1627.105242131711,53,1711.9719940551877
159,Kecmanovic M.,1445,235,1561.0137652459864,32,1456.1826789371685,0,1500.0,3,1512.449043670716,116,1611.4069003313143,60,1540.8847309271691,24,1520.7445858533333
160,Uchiyama Y.,158,33,1411.9540058390317,4,1471.070175350241,0,1500.0,0,1500.0,24,1449.1858357280141,2,1473.2729846048803,3,1456.078728817339
161,Medvedev D.,4065,445,1810.866063307088,109,1689.542939947381,0,1500.0,0,1500.0,222,1890.534754736212,54,1548.7038812668718,60,1669.6401082382024
